name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
5 Cliff St Essendon VIC 3040,$850.00,"[-37.7572709, 144.912089]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 7th October 2022",House,"['0.9 km away', '1.7 km away', '7.5 km away']"
2 Connecticut Street Wyndham Vale VIC 3024,$400,"[-37.8894269, 144.6212806]","['4 Beds', '2 Baths', '2 Parking']","This 4-bedroom property situated in the sought-after Jubilee Estate has everything you need and more! Showcasing 4 spacious bedrooms; master with en-suite and walk in robe with all additional bedrooms fitted with built in robes. An open floor plan features a formal lounge that leads through to an open plan kitchen, dining and second living area.",Available Now,House,"['1 km away', '2.4 km away']"
10 Laurel Court Hastings VIC 3915,$500 per week,"[-38.31141849999999, 145.187909]","['4 Beds', '1 Bath', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Wednesday, 5th October 2022",House,"['1.2 km away', '1.3 km away']"
29 Marriot Road Keilor Downs VIC 3038,$540,"[-37.7144727, 144.7953283]","['4 Beds', '2 Baths', '− Parking']","This hidden gem is located in the heart of Keilor Downs, within close proximity to schools, parks, public transport, Keilor Downs Shopping Centre, access to Calder Freeway.
Master bedroom featuring ensuite and WIR with additional 3 bedrooms all including built in robes with the main bathroom featuring floor to ceiling tiles. This property will not disappoint! Open plan newly renovated kitchen","Monday, 19th September 2022",House,"['0.5 km away', '0.9 km away', '4.9 km away']"
22 Aruba Avenue Point Cook VIC 3030,$540.00 per week,"[-37.9088953, 144.7426839]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['0.1 km away', '2.3 km away']"
11 Carramar Street Chadstone VIC 3148,$480.00,"[-37.8778527, 145.1021318]","['4 Beds', '1 Bath', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Saturday, 24th September 2022",House,"['1.5 km away', '1.5 km away', '11.7 km away']"
1 Skyline Drive Keilor VIC 3036,$650pw/$2824pcm,"[-37.7242429, 144.8363209]","['4 Beds', '2 Baths', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Wednesday, 5th October 2022",House,"['0.8 km away', '2.4 km away', '4 km away']"
9A & 9B Ludwell Crescent Bentleigh East VIC 3165,$900,"[-37.925441, 145.0739105]","['4 Beds', '3 Baths', '2 Parking']",Joseph Chatziconstantis,Available Now,Townhouse,"['0.6 km away', '1 km away', '1.3 km away']"
34 Elgar Grove Portsea VIC 3944,"$1,300.00","[-38.328264, 144.7197094]","['4 Beds', '2 Baths', '2 Parking']",This fully furnished 4 bedroom/ 2 bathroom family home is set in a quiet court within walking distance to beaches and Portsea village.,"Wednesday, 5th October 2022",House,"['2.4 km away', '15.3 km away']"
3/1845 Dandenong Road Oakleigh East VIC 3166,$950.00,"[-37.9080559, 145.1178548]","['4 Beds', '3 Baths', '2 Parking']",Steven Zarokostas,"Wednesday, 21st September 2022",Townhouse,"['0.6 km away', '1.2 km away', '2.9 km away']"
