name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
207/79 Merton Street Altona Meadows VIC 3028,$350 per week,"[-37.8722112, 144.7777264]","['1 Bed', '1 Bath', '1 Parking']",Leasing Team,"Saturday, 8th October 2022",Apartment / Unit / Flat,"['0.4 km away', '1.8 km away']"
1028/572 St Kilda Road Melbourne VIC 3004,$325 Per Week,"[-37.8477661, 144.9786951]","['1 Bed', '1 Bath', '− Parking']","Lease this gorgeous unfurnished modern style cosy studio apartment with beautiful views
out towards the iconic St Kilda bay for an initial 12 month lease with the potential to
extend.","Tuesday, 1st November 2022",Apartment / Unit / Flat,"['0.9 km away', '1.2 km away', '3.5 km away']"
5/23 Avoca Street South Yarra VIC 3141,$300,"[-37.8375641, 144.9890015]","['1 Bed', '1 Bath', '1 Parking']","Immaculately presented fully furnished one bedroom apartment with car space, close proximity to Alfred hospital. This apartment would suit person in the medical field. ",Available Now,Apartment / Unit / Flat,"['0.5 km away', '1.6 km away', '2.5 km away']"
614/157 Lonsdale Street Dandenong VIC 3175,$330,"[-37.99044110000001, 145.2142842]","['1 Bed', '1 Bath', '1 Parking']","Harcourts Asap Rental department is proud to offer this cozy one bedroom apartment located in Dandenong central . 
This property is the ideal apartment to live in, with views out towards the bay. The lounge room presents with an open view of the kitchen. The apartment is completely carpeted. This apartment is conveniently located within walking distance to train station and on the main shopping",Available Now,Apartment / Unit / Flat,"['0.6 km away', '1.3 km away', '10.7 km away']"
7/123 Victoria Street Brunswick East VIC 3057,$275.00 per week,"[-37.767706, 144.9735178]","['1 Bed', '1 Bath', '1 Parking']","Moments to Lygon Street cafes, shops, bars, restaurants, transport and parks, this ground floor studio apartment offers the ease of minimal maintenance in a hot inner city locale. Living under 5 kms from the CBD, the open design sees a kitchen with electric hotplates, living area and sleeping quarters adjoining a two stage bathroom with closet. The neatly kept complex includes a communal laundry",Available Now,Apartment / Unit / Flat,"['0.6 km away', '1.3 km away', '1.6 km away']"
6/3 Holmes Street Brunswick East VIC 3057,$265 per week,"[-37.761468, 144.9737946]","['1 Bed', '1 Bath', '− Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Wednesday, 1st February 2023",Apartment / Unit / Flat,"['0.6 km away', '1.2 km away', '1.9 km away']"
201/370 Johnston Street Abbotsford VIC 3067,$420.00 per week,"[-37.8000272, 144.9977812]","['1 Bed', '1 Bath', '− Parking']",Pavilion is the epitome of boutique luxury located in Melbourne's vibrant city fringe suburb of Abbotsford. This amazing 63m one bedroom residence has an abundance of natural light with spacious master bedroom including ensuite and walk in robe. Modern interiors designed by the highly acclaimed Carr Design Group are beautifully paired with architecture by CBG,"Wednesday, 19th October 2022",Apartment / Unit / Flat,['0.7 km away']
103/181 Fitzroy Street St Kilda VIC 3182,$435 per week,"[-37.8577879, 144.9811923]","['1 Bed', '1 Bath', '− Parking']","We are proud to represent this super chic 1 bedroom designer apartment in the sought after 181 Fitzroy Street building has the feel of living in a luxury hotel. Head up to the roof-top for the entertaining facilities and be awestruck with its spectacular resort quality infinity lap pool, alfresco BBQ, full kitchen and 360 degrees of uninterrupted views, including the Bay and the City! Spoil","Monday, 24th October 2022",Apartment / Unit / Flat,"['0.3 km away', '1.1 km away', '4.2 km away']"
3/1 Hatfield Court West Footscray VIC 3012,$320.00 Per Week,"[-37.8086303, 144.8687543]","['1 Bed', '1 Bath', '1 Parking']","Bright one-bedroom ground floor apartment. Renovated approx. 3 years ago with an updated kitchen and central bathroom, freshly painted and ceramic tiling throughout. Comprises open plan living and kitchen area, spacious 1 bedroom with BIR's, central bathroom and allocated car space.",Available Now,Apartment / Unit / Flat,"['0.7 km away', '3 km away', '3 km away']"
9/22 Empire Street Footscray VIC 3011,$250 per week,"[-37.7890465, 144.8918832]","['1 Bed', '1 Bath', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,Apartment / Unit / Flat,"['0.3 km away', '0.8 km away', '1.1 km away']"
