name,postcode,property_type,bedrooms,bathrooms,parking,schools,cost_text,train_station(m),CBD(m),population2022,population2023,population2024,population2025,income2022,income2023,income2024,income2025
303/8 Elliott Ave Carnegie VIC 3163,3163,Apartment / Unit / Flat,1,1,1,0.6,$365.00,832.3,15118.8,47117.0,45748.0,44424.0,43142.0,251303,258748,266444,274401
302/181 ABeckett Street Melbourne VIC 3000,3000,Studio,1,1,0,1.4,$380.00,411.3,785.5,41911.0,37220.0,33055.0,29355.0,23639,24109,24588,25077
14 Eumeralla Street Wollert VIC 3750,3750,House,4,2,2,0.6,$520 Per week,6616.0,25691.1,26849.0,31638.0,37282.0,43932.0,60072,61642,63253,64906
7 Teague Avenue Mentone VIC 3194,3194,House,4,3,4,0.6,$780.00,584.3,24279.1,13375.0,12961.0,12561.0,12173.0,146309,154114,162338,171004
17a Orr Lane Montmorency VIC 3094,3094,Apartment / Unit / Flat,1,1,1,0.4,$280.00,2431.2,22822.1,5110.0,5045.0,4981.0,4918.0,68107,70215,72388,74628
6 Rodgers Court Charlemont VIC 3217,3217,House,4,2,2,1.8,$510.00 per week,2845.3,90322.4,75097.0,78164.0,81416.0,84863.0,292870,307583,323184,339736
15 Barnsbury Road Wyndham Vale VIC 3024,3024,House,4,2,2,0.6,$400 per week,2315.7,43395.1,52223.0,58408.0,65763.0,74600.0,250456,260727,271562,282999
110/4-8 Breese Street Brunswick VIC 3056,3056,Apartment / Unit / Flat,1,1,1,0.9,$385 per week,312.2,5771.0,17310.0,16654.0,16022.0,15415.0,68842,72533,76422,80520
158 Hutton Street Thornbury VIC 3071,3071,House,2,1,1,0.9,$550.00,1823.8,8652.8,19944.0,19612.0,19286.0,18965.0,76383,81416,86781,92500
701/11 Urquhart Street Coburg VIC 3058,3058,Apartment / Unit / Flat,2,2,1,0.1,$450,1007.4,9586.2,37334.0,36772.0,36219.0,35674.0,132414,138563,144998,151732
101/120 Greville Street Prahran VIC 3181,3181,Apartment / Unit / Flat,1,1,0,0.3,$430 per week,117.1,5745.3,20442.0,19535.0,18669.0,17840.0,76595,80071,83705,87504
1/56 Potter Street Dandenong VIC 3175,3175,Apartment / Unit / Flat,2,1,1,0.2,$320 per week,2265.5,33773.3,80706.0,78906.0,77174.0,75506.0,154868,159292,163846,168535
5/1 Bethany Court South Morang VIC 3752,3752,House,2,1,1,0.7,$310,3444.3,25099.8,12027.0,11689.0,11360.0,11041.0,63068,65575,68182,70893
8a Station Street Seaford VIC 3198,3198,Apartment / Unit / Flat,1,1,1,0.4,$355 / wk,558.6,51085.9,17380.0,17232.0,17085.0,16939.0,63320,65763,68300,70935
3509/11 Bale Circuit Southbank VIC 3006,3006,Apartment / Unit / Flat,2,2,0,0.9,$650 per week,1540.4,2473.9,28091.0,27075.0,26096.0,25153.0,126739,130222,133801,137480
207/1 Lygon Street Brunswick VIC 3056,3056,Apartment / Unit / Flat,1,1,0,0.2,$350,1372.4,4361.5,17310.0,16654.0,16022.0,15415.0,68842,72533,76422,80520
17 Korumburra Close Norlane VIC 3214,3214,House,3,2,3,1.1,$410.00,3919.5,67570.0,26135.0,25911.0,25688.0,25468.0,48715,50247,51827,53457
102/23-25 Clapham Street Thornbury VIC 3071,3071,Apartment / Unit / Flat,1,1,1,0.1,$450 Per Week,246.9,8184.4,19944.0,19612.0,19286.0,18965.0,76383,81416,86781,92500
143A Mckell Avenue Sunbury VIC 3429,3429,House,2,2,1,0.7,$410,2003.6,41148.7,39033.0,39423.0,39819.0,40222.0,132902,138467,144266,150309
303/6-8 High Street North Melbourne VIC 3051,3051,Studio,1,1,0,0.3,$250.00 per week,1750.9,2044.5,25025.0,23778.0,22593.0,21468.0,51986,53971,56032,58172
6 Milan Way Truganina VIC 3029,3029,House,4,2,2,2.2,$490 Per Week,3758.1,27079.9,100224.0,104172.0,108388.0,112884.0,169694,173516,177436,181457
2/2 John Street St Albans VIC 3021,3021,Apartment / Unit / Flat,2,1,1,0.6,$310 per week,1790.1,24510.8,45495.0,44112.0,42773.0,41476.0,160789,167220,173917,180890
2/2 Vision Street Chadstone VIC 3148,3148,Townhouse,3,1,1,1.3,$600,848.5,17742.6,37903.0,37069.0,36254.0,35458.0,168631,171095,173600,176148
11/3 Johnston Street Newport VIC 3015,3015,Townhouse,3,1,1,0.5,Contact agent for details,1666.4,12105.5,19427.0,19243.0,19062.0,18881.0,88710,93800,99182,104873
7/217 Main Road West St Albans VIC 3021,3021,Townhouse,2,1,3,0.8,$380 Per Week,1213.8,23934.5,45495.0,44112.0,42773.0,41476.0,160789,167220,173917,180890
2/9-11 Woolert Street Ashwood VIC 3147,3147,Apartment / Unit / Flat,3,2,2,0.7,$530,1242.4,18531.1,12138.0,11788.0,11449.0,11120.0,123405,125497,127635,129820
1/22 Finch Street Notting Hill VIC 3168,3168,Townhouse,3,2,2,1.5,$650,3369.6,22242.8,23358.0,21169.0,19186.0,17389.0,29868,29462,29062,28667
3 Sundowner Place Sanctuary Lakes VIC 3030,3030,House,4,2,2,1.6,$425 per week,7169.9,30555.5,83884.0,84882.0,85970.0,87152.0,250099,257670,265481,273539
8 Morley Crescent Highett VIC 3190,3190,House,3,1,1,1.3,$580.00,2569.7,19190.9,12487.0,12441.0,12394.0,12348.0,78303,82506,86935,91602
13 Spruhan Avenue Norlane VIC 3214,3214,House,3,1,2,1.7,$390.00,1731.3,67616.5,26135.0,25911.0,25688.0,25468.0,48715,50247,51827,53457
1410/668 Bourke Street Melbourne VIC 3000,3000,Apartment / Unit / Flat,1,1,1,2.2,$450 Per Week,1631.3,1231.5,41911.0,37220.0,33055.0,29355.0,23639,24109,24588,25077
5 Almond Street Caulfield South VIC 3162,3162,House,3,1,1,0.3,$630 per week,2162.0,12617.9,10845.0,10545.0,10254.0,9970.0,135790,141016,146454,152113
414/1 Acacia Place Abbotsford VIC 3067,3067,Apartment / Unit / Flat,1,1,1,0.6,$400 per week,2555.4,4883.0,9872.0,9647.0,9427.0,9212.0,70584,72934,75362,77871
25 Kamil Street Melton South VIC 3338,3338,House,3,1,3,0.3,$370 pw,2261.5,45310.3,38097.0,40653.0,43379.0,46288.0,57228,58600,60005,61444
10/15 Pine Avenue Elwood VIC 3184,3184,Apartment / Unit / Flat,1,1,0,0.6,$305.00 per week,1612.3,9868.9,15328.0,14698.0,14093.0,13513.0,71039,72528,74048,75600
